<<<<<<< HEAD
entities_processed,system_time_avg,average_wip,max_wip,final_wip,system_time_avg_detailed,system_time_std,system_time_min,system_time_max,Manutencao_Estacao_B_queue_time,Manutencao_Estacao_B_service_time,Manutencao_Estacao_B_system_time,Inspecao_queue_time,Inspecao_service_time,Inspecao_system_time,Operador_A_utilization,Operador_A_avg_queue,Operador_A_avg_in_service,Operador_A_max_queue,Operador_B_utilization,Operador_B_avg_queue,Operador_B_avg_in_service,Operador_B_max_queue,Operador_C_utilization,Operador_C_avg_queue,Operador_C_avg_in_service,Operador_C_max_queue,Decide_Estacao_Estacao_A_percentage,Decide_Estacao_Estacao_B_percentage,Atrib_Interna_A_Para_Reparo_A_percentage,Atrib_Interna_B_Para_Reparo_B_percentage,Atrib_Externa_B_Para_Reparo_B_percentage,Decide_Inspecao_Aprovada_percentage,Decide_Inspecao_Reprovada_percentage,Decide_Aprovadas_Tipo_Ciclo_Interno_percentage,Decide_Aprovadas_Tipo_Sai_Externa_percentage,Decide_Retorno_Estacao_Volta_A_percentage,Decide_Retorno_Estacao_Volta_B_percentage,total_revenue,total_costs,net_profit,avg_revenue_per_entity,avg_cost_per_entity,avg_profit_per_entity
1087,155.60787881526088,5.350633839701907,10,5,155.6078788152609,121.58900876030857,4.5029279330556164,1017.4127648350841,18.55679893310018,61.28919695715132,79.8459958902515,12.335883844374052,31.581796672908247,43.9176805172823,0.4723368188266461,0.1215167141166701,0.4723368188266461,4,0.26989542061119004,0.0347036409741073,0.26989542061119004,5,0.29313208887621617,0.04223056049562697,0.29313208887621617,5,75.92197500761962,24.078024992380374,100.0,100.0,100.0,87.68656716417911,12.313432835820896,73.48264277715566,26.517357222844346,41.30781499202552,58.69218500797449,0,0,0,0.0,0.0,0.0
1055,161.36775967842348,5.3529083467262355,9,5,161.36775967842348,126.8488687012447,5.379520888731349,819.8156932359561,26.517679285823323,65.69141166821905,92.20909095404238,11.806148516746152,30.97594283636592,42.78209135311207,0.4738695403577199,0.10327546431009703,0.4738695403577199,4,0.2776850253216047,0.04562967379302145,0.2776850253216047,4,0.29509087687382596,0.0334571320361212,0.29509087687382596,4,75.49194991055455,24.508050089445437,100.0,100.0,100.0,88.46984875270084,11.530151247299155,74.4449378330373,25.5550621669627,43.27086882453152,56.72913117546848,0,0,0,0.0,0.0,0.0
988,156.63142272284992,5.320795699938173,10,5,156.63142272284992,130.5120485195137,2.613148997799726,1297.4425414949656,22.24598175056786,65.78998964880104,88.0359713993689,10.127448511193359,29.643650310413246,39.77109882160661,0.47424270359545945,0.09126247669070016,0.47424270359545945,4,0.2724656122660246,0.03799379755873956,0.2724656122660246,5,0.2885753176007228,0.03189080775769151,0.2885753176007228,4,74.82100238663485,25.178997613365155,100.0,100.0,100.0,88.12885265460329,11.871147345396698,75.63176895306859,24.368231046931406,45.56113902847571,54.438860971524285,0,0,0,0.0,0.0,0.0
1011,159.32142157613592,5.333901238004716,9,5,159.32142157613592,129.8765764130034,1.9250778887653723,1244.2376464880072,25.153166845816063,61.967646857705496,87.12081370352156,12.111911285368736,30.38500610609929,42.496917391468024,0.47178896379168933,0.09953253469323733,0.47178896379168933,4,0.27967080738907374,0.03559402330533597,0.27967080738907374,5,0.3020274947573881,0.03549047358621895,0.3020274947573881,4,75.1850755108084,24.81492448919159,100.0,100.0,100.0,87.57836990595611,12.421630094043886,75.52572706935123,24.47427293064877,45.268138801261834,54.73186119873817,0,0,0,0.0,0.0,0.0
1007,162.0743336061609,5.338851281877032,9,7,162.0743336061609,140.4723948216458,4.366330765013117,1274.1014226258849,28.66657279789495,62.712635875192355,91.3792086730873,10.443625347500964,31.57119395981124,42.0148193073122,0.4615449021047902,0.09084334967995034,0.4615449021047902,4,0.27100919252254374,0.0551327828989976,0.27100919252254374,5,0.29250809892994245,0.029792340599324098,0.29250809892994245,5,74.74535650089874,25.25464349910126,100.0,100.0,100.0,87.74703557312253,12.25296442687747,75.18018018018017,24.81981981981982,42.096774193548384,57.90322580645161,0,0,0,0.0,0.0,0.0
1016,156.1457543152591,5.328864192338948,10,5,156.1457543152591,129.47455273397077,4.262163311010227,1261.5808760388172,22.18520780572281,61.79535114902242,83.98055895474523,13.234111822725355,30.228783451977517,43.46289527470287,0.4704074132603053,0.10297643858971244,0.4704074132603053,4,0.2763301868225087,0.0351435025710314,0.2763301868225087,4,0.2954211680790659,0.03592623697811782,0.2954211680790659,5,74.05405405405405,25.945945945945947,100.0,100.0,100.0,87.43837507394991,12.561624926050088,75.05638249887235,24.943617501127648,43.328100470957615,56.67189952904239,0,0,0,0.0,0.0,0.0
1044,164.27945367326834,5.355530160934692,12,5,164.27945367326834,138.3631139081145,5.019463663105853,1387.7870955434046,27.81735945462053,62.269807119237484,90.08716657385801,10.751776665264595,30.56365072067941,41.315427385944005,0.4423008391341323,0.09250402321360941,0.4423008391341323,4,0.28408271169012506,0.05524027939742479,0.28408271169012506,7,0.2925047203478121,0.03266550002771017,0.2925047203478121,4,73.77249161329674,26.227508386703263,100.0,100.0,100.0,87.3961218836565,12.60387811634349,74.21326692325107,25.786733076748924,42.54317111459969,57.45682888540031,0,0,0,0.0,0.0,0.0
1051,160.96422574602892,5.350691130304877,11,5,160.9642257460289,131.70872426356988,2.173495444789296,1009.3132620464894,23.753692223126976,61.98996506385582,85.7436572869828,13.58312722797219,30.255464347539856,43.83859157551205,0.4878521979736833,0.11435768884821988,0.4878521979736833,4,0.2747340767375123,0.03766810688225194,0.2747340767375123,5,0.3076641584848221,0.04611300253068263,0.3076641584848221,6,74.91039426523297,25.089605734767023,100.0,100.0,100.0,87.02378650164378,12.976213498356218,74.35555555555555,25.644444444444442,43.070044709388974,56.92995529061102,0,0,0,0.0,0.0,0.0
1045,160.91637771562912,5.348585436801047,10,5,160.91637771562912,136.2716626682303,2.714559305080911,1179.6251173825876,32.1130405290555,61.25355007632724,93.36659060538274,9.54970615489805,29.738423869310253,39.28813002420831,0.48818191296581137,0.11664275874228042,0.48818191296581137,4,0.28758544214540405,0.051269137467550664,0.28758544214540405,4,0.29816360630460137,0.032354177207819704,0.29816360630460137,4,74.61200585651537,25.387994143484626,100.0,100.0,100.0,87.73894574242132,12.261054257578683,75.1100352112676,24.889964788732392,47.40157480314961,52.59842519685039,0,0,0,0.0,0.0,0.0
=======
