combination_id,replication,arrival_rate,eq_mecanica_capacity,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Triagem_queue_time,Triagem_service_time,Manutencao_Eletrica_queue_time,Manutencao_Eletrica_service_time,Lanternagem_queue_time,Lanternagem_service_time,Manutencao_Mecanica_queue_time,Manutencao_Mecanica_service_time,funcionario_utilization,funcionario_avg_queue,funcionario_max_queue,eq_eletrica_utilization,eq_eletrica_avg_queue,eq_eletrica_max_queue,eq_mecanica_utilization,eq_mecanica_avg_queue,eq_mecanica_max_queue,eq_lantern_utilization,eq_lantern_avg_queue,eq_lantern_max_queue
2,0,1.0,3,2080,40,943,0.46225490196078434,9.786661219708055,0.007122586355510976,0.1695671649535134,1.2904302875235054,2.409822630563621,14.714694005733204,5.179239703515562,1.1251709652142547,3.7959740283415297,0.07936982702250484,0.0001922229524269574,2,0.27760211675610325,0.07406386970001444,3,0.5152844407241913,0.20293590471950115,9,0.706845676268298,1.9399985779245679,18
2,1,1.0,3,2080,40,1007,0.4936274509803922,7.34115632915982,0.007677768852823279,0.17011850674370624,1.0348965241492565,2.2933375987665316,5.3077861584341735,4.631983833828368,2.288329880882658,3.7619372466750587,0.08404534701189398,0.0005557901834656739,2,0.27992625288740847,0.03866987990648258,3,0.5458693293392015,0.51696206415602,11,0.6382726787366295,0.4642313889732946,6
2,2,1.0,3,2080,40,999,0.48970588235294116,14.592050734963983,0.008805894841763397,0.17070211255509601,1.3353488909410864,2.697891424112956,27.178965126682126,5.58497656444832,2.0483692917957708,3.9754750889121997,0.08500668156882525,0.0001959716610599014,2,0.33855892381025304,0.08666110829883693,4,0.5455428313867738,0.4034278135191132,10,0.8409555862050732,4.656177189330067,23
2,3,1.0,3,2080,40,1025,0.5024509803921569,7.909175482842913,0.007689067872542149,0.17067113529081016,1.393537781311441,2.4096554358430473,7.53778052567777,4.890945549909052,1.7749172917382803,3.7489682624472875,0.08585192606915387,0.0006904614309034991,2,0.31109758316446984,0.09337543854757836,4,0.5237519308326897,0.34931259599671494,8,0.7268439501477111,0.8202275985155746,8
2,4,1.0,3,2080,40,1058,0.5186274509803922,8.200169983843018,0.007301585034640127,0.16994112075444043,0.7551910416122831,2.3297307698154763,10.232913128591361,4.809348026046391,1.345799558003106,3.676975859906678,0.08835193962527385,0.0003447806603725881,2,0.28550622179111224,0.0274192235785596,4,0.557922526984365,0.26856337267506064,8,0.72535155492544,1.2511328569440383,8
3,0,2.0,1,2080,40,993,0.48676470588235293,8.8548188233194,0.006650519923928731,0.170309894591666,0.6418151553779674,2.386233342437888,12.628100287568902,4.787408998063444,1.0015743433597568,3.467388464042054,0.08271797518287664,9.259279621105901e-05,2,0.27956361217777226,0.03287080897695744,3,0.4800701142750334,0.1657019148718008,6,0.722804887942912,1.600912181906231,13
3,1,2.0,1,2080,40,1052,0.515686274509804,8.70190581421342,0.007709883121802497,0.16955504153976797,0.8544016430615334,2.3633660367129528,10.27474603596282,4.931230031151654,1.5137672459803708,4.038987377950784,0.0880050639510927,0.0004957073927077213,2,0.32982978079588865,0.05385544253162361,4,0.569200550681254,0.3122565013136997,8,0.7764849647218782,1.4492394401016713,10
3,2,2.0,1,2080,40,1061,0.5200980392156863,10.10762168506984,0.008278638676027125,0.17085828643171758,1.313990917997786,2.482236990064853,13.830115560093159,5.011105524795965,2.483458849860339,3.9090968975627254,0.08952339029662351,0.0004545217249163634,2,0.33562168729492026,0.08595191305308766,4,0.5756885861782138,0.5737782150246308,9,0.7394721361955431,1.7173548856059195,11
3,3,2.0,1,2080,40,1037,0.5083333333333333,14.471949007314901,0.008323888423696418,0.16928429526337657,1.0104441845181629,2.2658813548765004,28.381866239642502,5.312826521225314,2.7244286670431865,3.899798339371001,0.08549182929978551,0.000515029169510089,2,0.30544969244658743,0.05896283474889033,4,0.5568098544028137,0.6323114786854984,13,0.7717827737290635,3.8114067979524746,19
3,4,2.0,1,2080,40,1032,0.5058823529411764,9.962795982513146,0.007538808106095196,0.17094419416788723,1.1662909879128374,2.434334881412105,14.488974143194485,4.885576039482855,1.0971364776666055,3.773792761127425,0.08606626979137552,0.0003241470345704551,2,0.3159254721614262,0.060900803194331506,4,0.5226661041207732,0.1897904881138049,8,0.7840557384057263,1.9730933966731743,12
