combination_id,replication,arrival_rate,num_doctors,num_nurses,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Consultation_queue_time,Consultation_service_time,Pharmacy_queue_time,Pharmacy_service_time,Triage_queue_time,Triage_service_time,nursesT_utilization,nursesT_avg_queue,nursesT_max_queue,doctors_utilization,doctors_avg_queue,doctors_max_queue,nurses_utilization,nurses_avg_queue,nurses_max_queue,pharmacy_utilization,pharmacy_avg_queue,pharmacy_max_queue
7,0,3,5,3,2400,420,483,0.24393939393939393,20.473782438437738,1.6819831594617125,9.979166095058345,2.308125954226604,4.895969224334624,1.9784946686626852,2.5131757598307045,0.6157047355866856,0.6435321764102667,10,0.5277280732650819,0.05882400182663074,4,0.6611295395011411,0.18634767638353478,5,0.5429986381627792,0.7626293396832057,18
7,1,3,5,3,2400,420,502,0.25353535353535356,20.386912102991793,1.5381387410578031,10.078284082814706,1.9470201912825211,5.3322400862480785,1.8677691470446702,2.508869278731531,0.6336960250180492,0.5988076499312309,12,0.5416452763820311,0.04657608121358258,4,0.6813381161803437,0.16914283820067536,5,0.6186410620494338,0.5535010731174257,14
7,2,3,5,3,2400,420,484,0.24444444444444444,18.408493980824346,1.0817368808122254,9.732800491492219,0.9687279423542837,4.47552931531806,1.927291810717729,2.5153510952215834,0.6148838305699298,0.6193926246542191,10,0.5087404565661783,0.032466955917829124,4,0.6554171875571568,0.10117721951107188,5,0.5047175090408059,0.1908490207332521,6
7,3,3,5,3,2400,420,478,0.24141414141414141,18.687351659424564,1.4513032734466398,10.177929452070488,1.2183882945364541,4.7963932640208595,1.6300883739385774,2.5222869828915098,0.6106321975491197,0.4919009978796225,12,0.5064380132571117,0.053890745185362916,3,0.641065127951182,0.15644741436026374,4,0.5232429015295477,0.32145022041603416,12
7,4,3,5,3,2400,420,483,0.24393939393939393,20.995688657265067,2.1866773901706207,10.18292104956355,2.2157853355567427,4.9991906637370445,1.6474101672719694,2.4889827793138393,0.6127371177934154,0.5655167653744884,10,0.5491039752066592,0.14537482332739382,6,0.6831716187842698,0.29227586780122017,7,0.5661359218348156,0.696034855054708,18
8,0,3,5,4,2400,420,522,0.2636363636363636,20.19452164095225,1.914394123919956,9.876047629468266,1.9220635323170836,5.249484861371253,1.9116104227601496,2.4884685313289774,0.6575810626527675,0.6932314991182048,12,0.5499775801125987,0.1308759050177874,6,0.6909823667923587,0.25783912509110635,7,0.619631897739807,0.578429772573999,14
8,1,3,5,4,2400,420,493,0.24898989898989898,20.39236084313146,1.610735404222214,9.93048164905433,1.8915951640922883,5.403683562003042,1.8219451200992653,2.498121037254632,0.6247333773664805,0.6504941742427213,10,0.5362185772379586,0.06492421243350303,5,0.6753118550128147,0.18386295634689231,6,0.6119592440674361,0.5165504249017072,14
8,2,3,5,4,2400,420,466,0.23535353535353534,19.01080717244755,1.6895879466057107,10.06021420623261,0.9431253034975206,4.601012163324738,1.8893635771227175,2.51034507149224,0.5960889148640894,0.5927117584739946,14,0.5050014857438295,0.11010550859013983,6,0.6437049378285794,0.19899663807971965,7,0.49618711370295165,0.20145060600923534,8
8,3,3,5,4,2400,420,444,0.22424242424242424,20.029712851670205,1.3217916575975737,10.03105916493579,1.9864267952722487,5.166443649876448,2.106557818401679,2.4899043432848673,0.5677434642920047,0.698335578577075,14,0.46371444343977464,0.035980135370629045,3,0.5883473639685719,0.1257958172240116,4,0.5416218510936563,0.5675093888307771,12
8,4,3,5,4,2400,420,447,0.22575757575757577,19.06547896706612,1.1080559156442595,10.123053311720263,1.584810694533399,5.031511147912152,1.5228972978286648,2.4848281885399617,0.5606730854543396,0.4338045410833914,10,0.4704140554750377,0.02621594092135059,3,0.607416424397011,0.08562288963046868,4,0.5256128132192276,0.3856629138085281,8
